timestamp,domain,measure
3,psys-1,5.90992
3,core-0,0.48474
3,package-0,1.77122
3,uncore-0,0.0615
3,package-global,1.77122
3,cpu%_package-global,1.91987
3,cpu%_package-0,1.91441
3,freq_package-0,2383644.0
6,psys-1,36.18321
6,core-0,19.5328
6,package-0,23.78243
6,uncore-0,0.6509
6,package-global,23.78243
6,cpu%_package-global,21.3701
6,cpu%_package-0,21.30201
6,freq_package-0,1995075.375
9,psys-1,36.63924
9,core-0,19.93274
9,package-0,24.19243
9,uncore-0,0.62323
9,package-global,24.19243
9,cpu%_package-global,21.42857
9,cpu%_package-0,21.49332
9,freq_package-0,2754738.0
12,psys-1,37.19051
12,core-0,20.41183
12,package-0,24.74522
12,uncore-0,0.62272
12,package-global,24.74522
12,cpu%_package-global,21.46844
12,cpu%_package-0,21.65646
12,freq_package-0,1884483.875
15,psys-1,37.22186
15,core-0,20.25572
15,package-0,24.66668
15,uncore-0,0.64156
15,package-global,24.66668
15,cpu%_package-global,21.09777
15,cpu%_package-0,21.20464
15,freq_package-0,3606922.25
18,psys-1,37.89827
18,core-0,20.47214
18,package-0,24.92859
18,uncore-0,0.69407
18,package-global,24.92859
18,cpu%_package-global,21.43471
18,cpu%_package-0,21.67981
18,freq_package-0,2784360.375
21,psys-1,37.07447
21,core-0,20.50302
21,package-0,24.98926
21,uncore-0,0.6564
21,package-global,24.98926
21,cpu%_package-global,21.30584
21,cpu%_package-0,21.10031
21,freq_package-0,3913901.25
24,psys-1,35.17965
24,core-0,19.81411
24,package-0,24.36008
24,uncore-0,0.66731
24,package-global,24.36008
24,cpu%_package-global,20.94128
24,cpu%_package-0,21.11049
24,freq_package-0,3566111.75
27,psys-1,35.15629
27,core-0,19.82111
27,package-0,24.33099
27,uncore-0,0.68485
27,package-global,24.33099
27,cpu%_package-global,20.93723
27,cpu%_package-0,20.99452
27,freq_package-0,3716017.875
30,psys-1,34.99618
30,core-0,19.58602
30,package-0,24.0859
30,uncore-0,0.61324
30,package-global,24.0859
30,cpu%_package-global,20.98712
30,cpu%_package-0,21.15403
30,freq_package-0,1377974.5
33,psys-1,35.73729
33,core-0,20.01233
33,package-0,24.49505
33,uncore-0,0.65636
33,package-global,24.49505
33,cpu%_package-global,21.45923
33,cpu%_package-0,21.54701
33,freq_package-0,4049675.625
36,psys-1,35.54246
36,core-0,19.96417
36,package-0,24.40435
36,uncore-0,0.61959
36,package-global,24.40435
36,cpu%_package-global,21.3613
36,cpu%_package-0,21.40007
36,freq_package-0,3793568.125
39,psys-1,35.86118
39,core-0,20.10078
39,package-0,24.59332
39,uncore-0,0.67574
39,package-global,24.59332
39,cpu%_package-global,20.13859
39,cpu%_package-0,20.54679
39,freq_package-0,2929417.125
42,psys-1,26.50962
42,core-0,14.13978
42,package-0,17.7451
42,uncore-0,0.51576
42,package-global,17.7451
42,cpu%_package-global,14.95526
42,cpu%_package-0,14.94256
42,freq_package-0,482480.125
45,psys-1,5.16081
45,core-0,0.5159
45,package-0,1.77629
45,uncore-0,0.06646
45,package-global,1.77629
45,cpu%_package-global,1.54424
45,cpu%_package-0,1.46379
45,freq_package-0,947540.625
48,psys-1,4.11249
48,core-0,0.21943
48,package-0,1.2353
48,uncore-0,0.03439
48,package-global,1.2353
48,cpu%_package-global,0.58431
48,cpu%_package-0,0.66612
48,freq_package-0,475198.875
51,psys-1,3.87077
51,core-0,0.18126
51,package-0,1.13823
51,uncore-0,0.02707
51,package-global,1.13823
51,cpu%_package-global,0.54257
51,cpu%_package-0,0.45876
51,freq_package-0,479927.125
54,psys-1,3.59782
54,core-0,0.16336
54,package-0,1.04626
54,uncore-0,0.0261
54,package-global,1.04626
54,cpu%_package-global,0.54234
54,cpu%_package-0,0.54001
54,freq_package-0,460676.5
57,psys-1,3.62552
57,core-0,0.14013
57,package-0,1.05657
57,uncore-0,0.02736
57,package-global,1.05657
57,cpu%_package-global,0.41719
57,cpu%_package-0,0.5407
57,freq_package-0,484853.5
60,psys-1,3.80698
60,core-0,0.16212
60,package-0,1.12072
60,uncore-0,0.02902
60,package-global,1.12072
60,cpu%_package-global,0.41806
60,cpu%_package-0,0.3757
60,freq_package-0,566980.25
63,psys-1,3.42641
63,core-0,0.22285
63,package-0,1.18744
63,uncore-0,0.02988
63,package-global,1.18744
63,cpu%_package-global,0.66862
63,cpu%_package-0,0.6264
63,freq_package-0,466339.875
66,psys-1,3.11772
66,core-0,0.13468
66,package-0,1.09017
66,uncore-0,0.02711
66,package-global,1.09017
66,cpu%_package-global,0.33403
66,cpu%_package-0,0.37445
66,freq_package-0,471885.0
69,psys-1,2.91286
69,core-0,0.14787
69,package-0,1.01867
69,uncore-0,0.02634
69,package-global,1.01867
69,cpu%_package-global,0.50104
69,cpu%_package-0,0.45862
69,freq_package-0,464232.875
72,psys-1,2.72222
72,core-0,0.14013
72,package-0,0.9779
72,uncore-0,0.02427
72,package-global,0.9779
72,cpu%_package-global,0.41754
72,cpu%_package-0,0.41793
72,freq_package-0,822499.75
75,psys-1,3.05236
75,core-0,0.14747
75,package-0,1.08385
75,uncore-0,0.02825
75,package-global,1.08385
75,cpu%_package-global,0.41754
75,cpu%_package-0,0.58265
75,freq_package-0,614518.75
78,psys-1,26.09752
78,core-0,12.01254
78,package-0,14.84058
78,uncore-0,0.08428
78,package-global,14.84058
78,cpu%_package-global,14.02923
78,cpu%_package-0,13.89758
78,freq_package-0,2092262.5
81,psys-1,29.58189
81,core-0,14.34291
81,package-0,17.43558
81,uncore-0,0.06365
81,package-global,17.43558
81,cpu%_package-global,15.70593
81,cpu%_package-0,15.74641
81,freq_package-0,1144433.5
84,psys-1,26.55781
84,core-0,11.98145
84,package-0,15.00183
84,uncore-0,0.06427
84,package-global,15.00183
84,cpu%_package-global,12.80768
84,cpu%_package-0,12.66695
84,freq_package-0,827863.75
87,psys-1,26.1634
87,core-0,11.42879
87,package-0,14.53437
87,uncore-0,0.06357
87,package-global,14.53437
87,cpu%_package-global,12.68252
87,cpu%_package-0,12.70792
87,freq_package-0,841356.375
90,psys-1,27.75131
90,core-0,12.96401
90,package-0,16.07064
90,uncore-0,0.05561
90,package-global,16.07064
90,cpu%_package-global,12.80234
90,cpu%_package-0,12.75014
90,freq_package-0,1414291.5
93,psys-1,24.38544
93,core-0,10.84883
93,package-0,14.13892
93,uncore-0,0.05423
93,package-global,14.13892
93,cpu%_package-global,12.85476
93,cpu%_package-0,12.75028
93,freq_package-0,2174613.625
96,psys-1,25.31243
96,core-0,11.97129
96,package-0,15.16455
96,uncore-0,0.05117
96,package-global,15.16455
96,cpu%_package-global,12.66722
96,cpu%_package-0,12.66723
96,freq_package-0,1318578.0
99,psys-1,25.83533
99,core-0,12.67851
99,package-0,15.74853
99,uncore-0,0.0524
99,package-global,15.74853
99,cpu%_package-global,12.797
99,cpu%_package-0,12.7525
99,freq_package-0,1672097.125
102,psys-1,26.95076
102,core-0,14.07123
102,package-0,17.04383
102,uncore-0,0.05142
102,package-global,17.04383
102,cpu%_package-global,13.18865
102,cpu%_package-0,13.12542
102,freq_package-0,1222584.875
105,psys-1,23.80197
105,core-0,10.19089
105,package-0,13.53662
105,uncore-0,0.04888
105,package-global,13.53662
105,cpu%_package-global,13.0217
105,cpu%_package-0,13.00182
105,freq_package-0,1785533.75
108,psys-1,27.77959
108,core-0,14.46705
108,package-0,17.42245
108,uncore-0,0.05752
108,package-global,17.42245
108,cpu%_package-global,13.58333
108,cpu%_package-0,13.62985
108,freq_package-0,1171728.75
111,psys-1,23.62075
111,core-0,10.11204
111,package-0,13.43387
111,uncore-0,0.04431
111,package-global,13.43387
111,cpu%_package-global,13.24448
111,cpu%_package-0,13.16667
111,freq_package-0,1269912.25
114,psys-1,29.37567
114,core-0,16.58316
114,package-0,19.33919
114,uncore-0,0.06768
114,package-global,19.33919
114,cpu%_package-global,13.47518
114,cpu%_package-0,13.49834
114,freq_package-0,1072751.5
117,psys-1,20.48908
117,core-0,6.41233
117,package-0,10.08845
117,uncore-0,0.05126
117,package-global,10.08845
117,cpu%_package-global,12.78634
117,cpu%_package-0,12.66584
117,freq_package-0,927586.375
120,psys-1,29.22484
120,core-0,16.21043
120,package-0,19.03289
120,uncore-0,0.06727
120,package-global,19.03289
120,cpu%_package-global,13.48643
120,cpu%_package-0,13.50279
120,freq_package-0,1178673.5
123,psys-1,29.93016
123,core-0,17.03938
123,package-0,19.71468
123,uncore-0,0.07124
123,package-global,19.71468
123,cpu%_package-global,13.98164
123,cpu%_package-0,14.00128
123,freq_package-0,1203078.625
126,psys-1,28.6792
126,core-0,16.54569
126,package-0,18.87175
126,uncore-0,0.08138
126,package-global,18.87175
126,cpu%_package-global,12.80234
126,cpu%_package-0,12.75766
126,freq_package-0,1574005.5
129,psys-1,26.20441
129,core-0,13.49678
129,package-0,16.16709
129,uncore-0,0.0
129,package-global,16.16709
129,cpu%_package-global,12.79167
129,cpu%_package-0,12.79139
129,freq_package-0,1541136.75
132,psys-1,19.2115
132,core-0,5.22302
132,package-0,8.85286
132,uncore-0,0.0
132,package-global,8.85286
132,cpu%_package-global,12.73486
132,cpu%_package-0,12.62486
132,freq_package-0,847897.125
135,psys-1,16.73786
135,core-0,3.24954
135,package-0,7.20407
135,uncore-0,0.0
135,package-global,7.20407
135,cpu%_package-global,12.71893
135,cpu%_package-0,12.70986
135,freq_package-0,742892.125
138,psys-1,15.24787
138,core-0,2.63642
138,package-0,6.37882
138,uncore-0,0.00646
138,package-global,6.37882
138,cpu%_package-global,12.72955
138,cpu%_package-0,12.70875
138,freq_package-0,895275.375
141,psys-1,27.70286
141,core-0,15.66755
141,package-0,17.98595
141,uncore-0,0.0
141,package-global,17.98595
141,cpu%_package-global,12.68781
141,cpu%_package-0,12.70806
141,freq_package-0,1036171.625
144,psys-1,29.40694
144,core-0,17.43502
144,package-0,19.54494
144,uncore-0,0.0
144,package-global,19.54494
144,cpu%_package-global,12.75531
144,cpu%_package-0,12.79153
144,freq_package-0,1026232.375
147,psys-1,29.12864
147,core-0,17.18655
147,package-0,19.31455
147,uncore-0,0.0
147,package-global,19.31455
147,cpu%_package-global,12.78102
147,cpu%_package-0,12.66584
147,freq_package-0,1085931.875
150,psys-1,29.07769
150,core-0,17.0205
150,package-0,19.19879
150,uncore-0,0.0
150,package-global,19.19879
150,cpu%_package-global,12.67195
150,cpu%_package-0,12.70833
150,freq_package-0,903359.375
153,psys-1,29.02868
153,core-0,16.99637
153,package-0,19.13978
153,uncore-0,0.0
153,package-global,19.13978
153,cpu%_package-global,12.91129
153,cpu%_package-0,12.79139
153,freq_package-0,1332466.625
156,psys-1,28.90816
156,core-0,16.80581
156,package-0,19.07126
156,uncore-0,0.0
156,package-global,19.07126
156,cpu%_package-global,12.6408
156,cpu%_package-0,12.58319
156,freq_package-0,1222723.5
159,psys-1,28.68068
159,core-0,16.78358
159,package-0,18.90652
159,uncore-0,0.0
159,package-global,18.90652
159,cpu%_package-global,12.75531
159,cpu%_package-0,12.79125
159,freq_package-0,1108105.125
162,psys-1,28.73136
162,core-0,16.6857
162,package-0,18.8912
162,uncore-0,0.0
162,package-global,18.8912
162,cpu%_package-global,12.70833
162,cpu%_package-0,12.70819
162,freq_package-0,1158144.375
165,psys-1,28.80361
165,core-0,16.69948
165,package-0,18.8385
165,uncore-0,0.0
165,package-global,18.8385
165,cpu%_package-global,12.75531
165,cpu%_package-0,12.7082
165,freq_package-0,1104343.125
168,psys-1,28.86173
168,core-0,16.64796
168,package-0,18.88209
168,uncore-0,0.0
168,package-global,18.88209
168,cpu%_package-global,12.75531
168,cpu%_package-0,12.83278
168,freq_package-0,1051188.75
171,psys-1,28.76163
171,core-0,16.64216
171,package-0,18.8086
171,uncore-0,0.0
171,package-global,18.8086
171,cpu%_package-global,12.66667
171,cpu%_package-0,12.62514
171,freq_package-0,927388.5
174,psys-1,28.87718
174,core-0,16.64823
174,package-0,18.84852
174,uncore-0,0.0
174,package-global,18.84852
174,cpu%_package-global,12.71363
174,cpu%_package-0,12.66667
174,freq_package-0,1739182.625
177,psys-1,28.80226
177,core-0,16.64901
177,package-0,18.80695
177,uncore-0,0.0
177,package-global,18.80695
177,cpu%_package-global,12.59908
177,cpu%_package-0,12.66667
177,freq_package-0,1498976.625
180,psys-1,28.98129
180,core-0,16.66609
180,package-0,18.87276
180,uncore-0,0.0
180,package-global,18.87276
180,cpu%_package-global,12.75
180,cpu%_package-0,12.62486
180,freq_package-0,1465958.0
183,psys-1,28.98509
183,core-0,16.69837
183,package-0,18.82488
183,uncore-0,0.0
183,package-global,18.82488
183,cpu%_package-global,12.71363
183,cpu%_package-0,12.70792
183,freq_package-0,1182231.75
186,psys-1,29.38491
186,core-0,16.87712
186,package-0,19.2053
186,uncore-0,0.0
186,package-global,19.2053
186,cpu%_package-global,13.13047
186,cpu%_package-0,13.20737
186,freq_package-0,972577.5
189,psys-1,25.60073
189,core-0,13.02643
189,package-0,15.67596
189,uncore-0,0.0
189,package-global,15.67596
189,cpu%_package-global,12.72955
189,cpu%_package-0,12.70806
189,freq_package-0,1323874.875
192,psys-1,16.95519
192,core-0,3.24435
192,package-0,7.01004
192,uncore-0,0.0
192,package-global,7.01004
192,cpu%_package-global,12.68252
192,cpu%_package-0,12.62514
192,freq_package-0,730290.5
195,psys-1,18.1075
195,core-0,4.13227
195,package-0,7.75964
195,uncore-0,0.0
195,package-global,7.75964
195,cpu%_package-global,12.77662
195,cpu%_package-0,12.79195
195,freq_package-0,865154.5
198,psys-1,16.97346
198,core-0,3.35387
198,package-0,7.31333
198,uncore-0,0.00898
198,package-global,7.31333
198,cpu%_package-global,12.80234
198,cpu%_package-0,12.66667
198,freq_package-0,856415.25
201,psys-1,15.44493
201,core-0,2.67042
201,package-0,6.3371
201,uncore-0,0.0
201,package-global,6.3371
201,cpu%_package-global,12.69311
201,cpu%_package-0,12.75
201,freq_package-0,652653.0
204,psys-1,26.51431
204,core-0,14.27253
204,package-0,16.77223
204,uncore-0,0.0
204,package-global,16.77223
204,cpu%_package-global,12.797
204,cpu%_package-0,12.74972
204,freq_package-0,1047154.5
207,psys-1,29.96444
207,core-0,17.91883
207,package-0,19.98784
207,uncore-0,0.0
207,package-global,19.98784
207,cpu%_package-global,12.72424
207,cpu%_package-0,12.70847
207,freq_package-0,1109415.75
210,psys-1,29.78643
210,core-0,17.54087
210,package-0,19.71948
210,uncore-0,0.0
210,package-global,19.71948
210,cpu%_package-global,12.71893
210,cpu%_package-0,12.66681
210,freq_package-0,1456403.125
213,psys-1,29.36021
213,core-0,17.30923
213,package-0,19.39383
213,uncore-0,0.0
213,package-global,19.39383
213,cpu%_package-global,12.91129
213,cpu%_package-0,12.83334
213,freq_package-0,1201052.625
216,psys-1,29.26686
216,core-0,17.10933
216,package-0,19.35052
216,uncore-0,0.0
216,package-global,19.35052
216,cpu%_package-global,12.6408
216,cpu%_package-0,12.70806
216,freq_package-0,947260.875
219,psys-1,28.88396
219,core-0,16.97409
219,package-0,19.10203
219,uncore-0,0.0
219,package-global,19.10203
219,cpu%_package-global,12.797
219,cpu%_package-0,12.79139
219,freq_package-0,989675.25
222,psys-1,28.80374
222,core-0,16.86908
222,package-0,19.04766
222,uncore-0,0.0
222,package-global,19.04766
222,cpu%_package-global,12.75
222,cpu%_package-0,12.66695
222,freq_package-0,956236.625
225,psys-1,28.72097
225,core-0,16.7825
225,package-0,18.9359
225,uncore-0,0.0
225,package-global,18.9359
225,cpu%_package-global,12.70833
225,cpu%_package-0,12.66625
225,freq_package-0,961379.625
228,psys-1,28.19648
228,core-0,16.80132
228,package-0,18.96708
228,uncore-0,0.0
228,package-global,18.96708
228,cpu%_package-global,12.75531
228,cpu%_package-0,12.7907
228,freq_package-0,1068571.125
231,psys-1,28.07728
231,core-0,16.68872
231,package-0,18.9374
231,uncore-0,0.0
231,package-global,18.9374
231,cpu%_package-global,12.75
231,cpu%_package-0,12.70806
231,freq_package-0,1065941.5
234,psys-1,28.08446
234,core-0,16.66178
234,package-0,18.83373
234,uncore-0,0.0
234,package-global,18.83373
234,cpu%_package-global,12.71363
234,cpu%_package-0,12.70792
234,freq_package-0,1286150.5
237,psys-1,28.15264
237,core-0,16.62079
237,package-0,18.86167
237,uncore-0,0.0
237,package-global,18.86167
237,cpu%_package-global,12.67723
237,cpu%_package-0,12.58347
237,freq_package-0,926847.875
240,psys-1,28.28125
240,core-0,16.71144
240,package-0,18.92019
240,uncore-0,0.0
240,package-global,18.92019
240,cpu%_package-global,12.94216
240,cpu%_package-0,12.95558
240,freq_package-0,1501201.375
243,psys-1,28.11804
243,core-0,16.72046
243,package-0,18.84498
243,uncore-0,0.0
243,package-global,18.84498
243,cpu%_package-global,12.82265
243,cpu%_package-0,12.87334
243,freq_package-0,1477535.25
246,psys-1,28.2864
246,core-0,16.74223
246,package-0,18.98045
246,uncore-0,0.0
246,package-global,18.98045
246,cpu%_package-global,12.66667
246,cpu%_package-0,12.62486
246,freq_package-0,1141296.5
249,psys-1,28.5657
249,core-0,16.98863
249,package-0,19.18694
249,uncore-0,0.0
249,package-global,19.18694
249,cpu%_package-global,13.21935
249,cpu%_package-0,13.20918
249,freq_package-0,1503383.25
252,psys-1,28.19699
252,core-0,16.71387
252,package-0,18.92208
252,uncore-0,0.0
252,package-global,18.92208
252,cpu%_package-global,12.75
252,cpu%_package-0,12.7489
252,freq_package-0,900000.0
255,psys-1,28.35918
255,core-0,16.72928
255,package-0,18.97693
255,uncore-0,0.0
255,package-global,18.97693
255,cpu%_package-global,12.85893
255,cpu%_package-0,12.91433
255,freq_package-0,1181422.5
258,psys-1,28.37404
258,core-0,16.73661
258,package-0,18.93059
258,uncore-0,0.01593
258,package-global,18.93059
258,cpu%_package-global,12.73938
258,cpu%_package-0,12.79111
258,freq_package-0,902784.0
261,psys-1,28.30429
261,core-0,16.85052
261,package-0,18.98038
261,uncore-0,0.0
261,package-global,18.98038
261,cpu%_package-global,12.80234
261,cpu%_package-0,12.75028
261,freq_package-0,901831.75
264,psys-1,23.79552
264,core-0,11.54668
264,package-0,14.54133
264,uncore-0,0.0
264,package-global,14.54133
264,cpu%_package-global,12.79167
264,cpu%_package-0,12.66681
264,freq_package-0,960127.5
267,psys-1,16.22064
267,core-0,3.28395
267,package-0,6.98515
267,uncore-0,0.0
267,package-global,6.98515
267,cpu%_package-global,12.67723
267,cpu%_package-0,12.75
267,freq_package-0,919194.125
270,psys-1,17.66496
270,core-0,4.2781
270,package-0,7.95019
270,uncore-0,0.0
270,package-global,7.95019
270,cpu%_package-global,12.72955
270,cpu%_package-0,12.62514
270,freq_package-0,1031397.25
273,psys-1,16.74848
273,core-0,3.86882
273,package-0,7.74383
273,uncore-0,0.0
273,package-global,7.74383
273,cpu%_package-global,12.96373
273,cpu%_package-0,12.87514
273,freq_package-0,697048.875
276,psys-1,15.18718
276,core-0,2.7229
276,package-0,6.63876
276,uncore-0,0.0
276,package-global,6.63876
276,cpu%_package-global,12.75
276,cpu%_package-0,12.70847
276,freq_package-0,654331.25
279,psys-1,21.32261
279,core-0,9.85593
279,package-0,12.741
279,uncore-0,0.0
279,package-global,12.741
279,cpu%_package-global,12.68781
279,cpu%_package-0,12.79056
279,freq_package-0,1101290.875
282,psys-1,29.59102
282,core-0,18.21045
282,package-0,20.3297
282,uncore-0,0.0
282,package-global,20.3297
282,cpu%_package-global,12.71363
282,cpu%_package-0,12.625
282,freq_package-0,1167608.75
285,psys-1,29.38525
285,core-0,17.85624
285,package-0,20.04185
285,uncore-0,0.0
285,package-global,20.04185
285,cpu%_package-global,12.875
285,cpu%_package-0,12.89723
285,freq_package-0,1255308.375
288,psys-1,29.04981
288,core-0,17.68457
288,package-0,19.83478
288,uncore-0,0.0
288,package-global,19.83478
288,cpu%_package-global,13.31669
288,cpu%_package-0,13.37062
288,freq_package-0,906122.375
291,psys-1,28.40666
291,core-0,17.2155
291,package-0,19.33234
291,uncore-0,0.0
291,package-global,19.33234
